name,latitude,longitude,boro,category,factype
Engine 279/Ladder 131,40.672118,-73.999666,Brooklyn,Fire Services,
Battalion 32/Engine 202/Ladder 101,40.680386,-74.006438,Brooklyn,Fire Services,
Engine 228,40.651814,-74.005327,Brooklyn,Fire Services,
Squad 1,40.674649,-73.97667,Brooklyn,Fire Services,
Engine 239,40.671782,-73.987239,Brooklyn,Fire Services,
Engine 220/Ladder 122,40.66495,-73.981452,Brooklyn,Fire Services,
Engine 219/Ladder 105,40.681192,-73.973851,Brooklyn,Fire Services,
Engine 280/Ladder 132,40.673473,-73.961641,Brooklyn,Fire Services,
Battalion 38/Engine 234/Ladder 123,40.670443,-73.933495,Brooklyn,Fire Services,
Engine 227,40.674781,-73.921728,Brooklyn,Fire Services,
Engine 233/Ladder 176,40.682712,-73.911396,Brooklyn,Fire Services,
Engine 217,40.692759,-73.937993,Brooklyn,Fire Services,
Battalion 37/Engine 222,40.689591,-73.924433,Brooklyn,Fire Services,
Engine 214/Ladder 111,40.68441,-73.935771,Brooklyn,Fire Services,
Engine 230,40.698066,-73.947507,Brooklyn,Fire Services,
Battalion 57/Engine 235,40.685175,-73.951098,Brooklyn,Fire Services,
Ladder 102,40.695608,-73.956614,Brooklyn,Fire Services,
Engine 210,40.692799,-73.973006,Brooklyn,Fire Services,
Engine 211/Ladder 119,40.701379,-73.962289,Brooklyn,Fire Services,
Engine 221/Ladder 104,40.713175,-73.961113,Brooklyn,Fire Services,
Battalion 35/Engine 216/Ladder 108,40.706236,-73.95062,Brooklyn,Fire Services,
Engine 238/Ladder 106,40.730747,-73.951144,Brooklyn,Fire Services,
Engine 229/Ladder 146,40.718619,-73.949024,Brooklyn,Fire Services,
Engine 206,40.715301,-73.928159,Brooklyn,Fire Services,
Engine 237,40.705312,-73.931932,Brooklyn,Fire Services,
Engine 218,40.698312,-73.92659,Brooklyn,Fire Services,
Battalion 28/Engine 271/Ladder 124,40.70363,-73.91602,Brooklyn,Fire Services,
Engine 277/Ladder 112,40.696397,-73.914659,Brooklyn,Fire Services,
Squad 252,40.688597,-73.90814,Brooklyn,Fire Services,
Battalion 44/Engine 231/Ladder 120,40.67057,-73.907891,Brooklyn,Fire Services,
Division 15/Engine 283,40.660966,-73.917952,Brooklyn,Fire Services,
Engine 332/Ladder 175,40.675471,-73.892695,Brooklyn,Fire Services,
Engine 290/Ladder 103,40.665123,-73.895447,Brooklyn,Fire Services,
Engine 236,40.677748,-73.872797,Brooklyn,Fire Services,
Battalion 39/Engine 225/Ladder 107,40.669446,-73.865383,Brooklyn,Fire Services,
Engine 310/Ladder 174,40.650355,-73.928888,Brooklyn,Fire Services,
Engine 249/Ladder 113,40.660257,-73.953293,Brooklyn,Fire Services,
Battalion 41/Engine 248,40.648746,-73.949987,Brooklyn,Fire Services,
Engine 281/Ladder 147,40.640024,-73.966669,Brooklyn,Fire Services,
Engine 255/Ladder 157,40.636444,-73.95064,Brooklyn,Fire Services,
Battalion 48/Engine 240,40.651175,-73.975574,Brooklyn,Fire Services,
Engine 282/Ladder 148,40.640182,-73.990752,Brooklyn,Fire Services,
Engine 247,40.62802,-73.997775,Brooklyn,Fire Services,
Engine 241/Ladder 109,40.638157,-74.025161,Brooklyn,Fire Services,
Engine 242,40.617389,-74.02952,Brooklyn,Fire Services,
Engine 284/Ladder 149,40.619955,-74.012537,Brooklyn,Fire Services,
Battalion 42/Engine 243/Ladder 168,40.606037,-74.003495,Brooklyn,Fire Services,
Engine 250,40.627757,-73.97558,Brooklyn,Fire Services,
Engine 330/Ladder 172,40.612127,-73.979153,Brooklyn,Fire Services,
Battalion 33/Engine 276/Ladder 156,40.609365,-73.959131,Brooklyn,Fire Services,
